Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1589.289153
FDW14,OUT017,1462.827877
NCN55,OUT010,574.0435158
FDQ58,OUT017,2495.011496
FDY38,OUT027,5848.98237
FDH56,OUT046,1933.539499
FDL48,OUT018,729.8585985
FDC48,OUT027,2132.914552
FDN33,OUT045,1534.070794
FDA36,OUT017,3051.185803
FDT44,OUT017,1963.389657
FDQ56,OUT045,1439.581531
NCC54,OUT019,573.3984959
FDU11,OUT049,2015.089972
DRL59,OUT013,856.0910531
FDM24,OUT049,2479.284336
FDI57,OUT045,3119.128184
DRC12,OUT018,3051.185803
NCM42,OUT027,2912.804045
FDA46,OUT010,504.9353096
FDA31,OUT013,2865.286123
NCJ31,OUT035,3879.889255
FDG52,OUT046,732.0281731
NCL19,OUT019,289.1887155
FDS10,OUT035,2997.471488
FDX22,OUT010,565.0850969
NCF19,OUT035,728.7987001
NCE06,OUT046,2553.120781
DRC27,OUT046,3891.026254
FDE21,OUT035,1933.539499
NCR42,OUT019,131.4276341
FDX51,OUT018,3051.185803
NCR06,OUT018,665.0470437
FDU31,OUT027,5848.98237
FDU59,OUT017,2564.339589
FDR03,OUT027,5848.98237
FDS49,OUT027,2053.601653
FDD48,OUT010,269.7220942
NCF18,OUT017,3051.185803
NCD43,OUT027,2856.311864
NCD54,OUT018,2151.027509
FDY19,OUT010,270.1373853
NCY54,OUT017,2865.286123
NCL19,OUT018,2471.246938
FDP23,OUT010,569.0001827
FDC26,OUT013,1719.485741
FDR14,OUT010,131.4276341
NCS41,OUT035,3048.599128
FDF41,OUT035,3900.476639
FDU34,OUT046,2023.414822
DRH11,OUT046,962.227072
FDM03,OUT013,1584.699599
FDS31,OUT017,3002.152982
FDJ20,OUT017,2015.089972
FDV44,OUT027,5211.030961
FDG02,OUT049,3051.185803
FDA09,OUT013,2965.468053
FDT04,OUT013,712.6205625
FDL58,OUT019,571.8869527
FDE52,OUT045,1492.258298
FDW12,OUT035,2473.383551
FDL51,OUT017,3684.919011
NCY42,OUT027,3023.508493
FDR07,OUT017,1534.070794
FDN40,OUT045,2493.145334
FDB35,OUT027,2690.564772
FDA22,OUT017,2566.324918
NCL06,OUT046,4076.434771
FDI35,OUT013,3002.152982
NCW42,OUT045,3753.711201
NCX06,OUT049,2978.603484
FDC37,OUT027,2891.872112
FDZ14,OUT018,2015.089972
DRG49,OUT049,3880.892588
NCG06,OUT045,4047.186259
DRC36,OUT045,2865.286123
FDV21,OUT019,279.7943755
FDB53,OUT046,2475.73913
DRP47,OUT019,569.4077234
FDA14,OUT013,2475.73913
DRC24,OUT035,2493.145334
FDW21,OUT018,1565.296669
NCH29,OUT046,1534.070794
FDU58,OUT013,3051.185803
FDY27,OUT017,2883.637178
FDV56,OUT035,1601.052846
FDT59,OUT046,3825.235016
FDB23,OUT046,3787.419562
FDR49,OUT045,727.2811821
FDB03,OUT010,574.0435158
FDN39,OUT045,2564.339589
FDX02,OUT027,5848.98237
FDQ16,OUT027,2889.394772
FDU35,OUT018,1536.315617
NCT29,OUT013,2015.089972
FDZ27,OUT046,732.0281731
FDN57,OUT017,2036.986581
FDA03,OUT018,2473.602517
FDZ36,OUT045,3051.185803
NCU05,OUT013,1463.071232
FDT39,OUT018,2475.357168
FDK60,OUT017,1534.070794
FDZ25,OUT017,2756.697136
FDG12,OUT046,2015.089972
DRB01,OUT019,503.3051952
NCC43,OUT027,5848.98237
FDX13,OUT019,568.3551629
FDM22,OUT049,865.2996593
FDJ03,OUT027,1061.087464
FDU14,OUT018,3767.743443
FDB33,OUT010,378.5076781
FDP27,OUT046,3051.185803
FDO38,OUT010,164.1934148
FDE28,OUT027,5848.98237
FDO27,OUT035,1532.443313
DRL23,OUT027,2876.400454
FDS28,OUT046,960.338783
FDX24,OUT013,1546.252549
FDZ02,OUT035,1534.070794
FDL46,OUT045,1933.539499
FDS60,OUT027,4806.890522
NCO06,OUT017,658.2604768
FDO16,OUT035,1429.11298
FDC60,OUT049,1464.508699
FDA48,OUT018,3519.041956
FDZ36,OUT027,5211.030961
FDK27,OUT045,2012.292672
FDW23,OUT018,662.498839
FDM14,OUT018,1682.26287
FDM14,OUT013,1593.92415
FDW60,OUT018,2881.500565
FDE21,OUT013,1933.539499
NCM42,OUT035,1601.052846
FDY59,OUT010,228.1596599
DRI49,OUT049,1344.97374
FDT28,OUT019,362.1144296
FDQ22,OUT018,664.2471597
FDR60,OUT049,1288.92893
FDC50,OUT019,234.8885384
FDV24,OUT013,2479.284336
DRF48,OUT010,492.566242
FDQ47,OUT046,667.8925172
DRN36,OUT049,1534.070794
NCY06,OUT035,2026.332165
FDE52,OUT035,1492.258298
NCB54,OUT045,2026.332165
NCF31,OUT035,2490.767298
FDJ08,OUT027,5211.030961
NCC07,OUT017,1584.699599
NCD19,OUT027,1238.808758
FDL46,OUT049,1968.754453
FDM20,OUT045,3895.959897
NCI06,OUT010,451.9908912
DRM11,OUT035,4089.663165
NCH07,OUT018,2546.016681
FDS23,OUT013,2034.335948
FDO49,OUT018,728.1004437
FDS35,OUT049,1046.983648
DRK39,OUT045,1392.020521
DRI39,OUT049,924.5806686
FDV04,OUT017,2548.153293
NCN14,OUT035,3048.599128
FDH08,OUT013,3821.364511
FDS20,OUT046,3048.599128
FDV40,OUT049,1109.520647
FDZ48,OUT010,260.4704207
FDS24,OUT027,2588.771904
FDK44,OUT049,2865.286123
FDS48,OUT045,2475.73913
FDK26,OUT010,496.8592955
FDD23,OUT045,3051.185803
NCH54,OUT017,2553.120781
NCP14,OUT010,241.4147501
FDM60,OUT010,131.4276341
FDV24,OUT017,2477.49378
FDH08,OUT018,3601.08637
FDS12,OUT027,3004.716695
FDR39,OUT027,4911.389635
FDP12,OUT027,995.1783726
DRF60,OUT027,5848.98237
FDC09,OUT035,1580.170176
FDF50,OUT018,3067.089043
