Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1564.706798
FDW14,OUT017,1363.710014
NCN55,OUT010,571.6494861
FDQ58,OUT017,2418.642206
FDY38,OUT027,5858.828523
FDH56,OUT046,1904.55327
FDL48,OUT018,759.3538647
FDC48,OUT027,2051.059441
FDN33,OUT045,1566.31059
FDA36,OUT017,3160.048705
FDT44,OUT017,1867.979581
FDQ56,OUT045,1395.956488
NCC54,OUT019,572.7001507
FDU11,OUT049,2009.073507
DRL59,OUT013,883.2117983
FDM24,OUT049,2375.593145
FDI57,OUT045,2975.271786
DRC12,OUT018,2914.5643
NCM42,OUT027,2916.795104
FDA46,OUT010,505.1068195
FDA31,OUT013,2753.168805
NCJ31,OUT035,3862.988459
FDG52,OUT046,796.6141135
NCL19,OUT019,290.49247
FDS10,OUT035,2940.540824
FDX22,OUT010,564.9830833
NCF19,OUT035,759.6537212
NCE06,OUT046,2510.479466
DRC27,OUT046,3951.355188
FDE21,OUT035,2019.099816
NCR42,OUT019,129.650948
FDX51,OUT018,2913.174435
NCR06,OUT018,606.0870457
FDU31,OUT027,5858.828523
FDU59,OUT017,2464.872301
FDR03,OUT027,5858.828523
FDS49,OUT027,1978.104552
FDD48,OUT010,268.9565612
NCF18,OUT017,3041.795191
NCD43,OUT027,2858.055757
NCD54,OUT018,2103.404934
FDY19,OUT010,270.267967
NCY54,OUT017,2800.69767
NCL19,OUT018,2411.34721
FDP23,OUT010,571.166105
FDC26,OUT013,1701.146786
FDR14,OUT010,129.650948
NCS41,OUT035,3201.429194
FDF41,OUT035,3877.166613
FDU34,OUT046,2061.884666
DRH11,OUT046,976.6607
FDM03,OUT013,1610.292343
FDS31,OUT017,3112.800886
FDJ20,OUT017,1949.218734
FDV44,OUT027,5139.191699
FDG02,OUT049,3207.55437
FDA09,OUT013,2991.444001
FDT04,OUT013,716.337651
FDL58,OUT019,572.7001507
FDE52,OUT045,1372.751218
FDW12,OUT035,2467.833152
FDL51,OUT017,3732.179826
NCY42,OUT027,3028.257582
FDR07,OUT017,1541.301845
FDN40,OUT045,2361.45238
FDB35,OUT027,2705.957557
FDA22,OUT017,2459.661811
NCL06,OUT046,4174.997514
FDI35,OUT013,3139.58344
NCW42,OUT045,3764.288819
NCX06,OUT049,2985.327543
FDC37,OUT027,2892.294533
FDZ14,OUT018,1866.77536
DRG49,OUT049,3956.4196
NCG06,OUT045,4107.957796
DRC36,OUT045,2844.346335
FDV21,OUT019,278.8745375
FDB53,OUT046,2584.290709
DRP47,OUT019,572.2167696
FDA14,OUT013,2480.551413
DRC24,OUT035,2546.154056
FDW21,OUT018,1624.09134
NCH29,OUT046,1565.57193
FDU58,OUT013,3134.779934
FDY27,OUT017,2838.551283
FDV56,OUT035,1688.905479
FDT59,OUT046,3792.409777
FDB23,OUT046,3762.997606
FDR49,OUT045,764.9433081
FDB03,OUT010,573.6195228
FDN39,OUT045,2654.608917
FDX02,OUT027,5858.828523
FDQ16,OUT027,2884.775145
FDU35,OUT018,1505.061161
NCT29,OUT013,1936.178177
FDZ27,OUT046,801.8525747
FDN57,OUT017,2038.686733
FDA03,OUT018,2392.223064
FDZ36,OUT045,3218.022048
NCU05,OUT013,1388.722628
FDT39,OUT018,2361.980593
FDK60,OUT017,1565.189205
FDZ25,OUT017,2929.479508
FDG12,OUT046,2093.804167
DRB01,OUT019,504.2496806
NCC43,OUT027,5858.828523
FDX13,OUT019,570.2467329
FDM22,OUT049,887.4077162
FDJ03,OUT027,1070.521555
FDU14,OUT018,3762.439889
FDB33,OUT010,379.4349183
FDP27,OUT046,3222.286163
FDO38,OUT010,161.4538113
FDE28,OUT027,5858.828523
FDO27,OUT035,1578.649358
DRL23,OUT027,2884.775145
FDS28,OUT046,976.6607
FDX24,OUT013,1431.287745
FDZ02,OUT035,1590.532409
FDL46,OUT045,1862.046964
FDS60,OUT027,4815.342931
NCO06,OUT017,583.9834269
FDO16,OUT035,1374.322852
FDC60,OUT049,1350.773083
FDA48,OUT018,3390.426156
FDZ36,OUT027,5139.191699
FDK27,OUT045,2060.195438
FDW23,OUT018,602.0151243
FDM14,OUT018,1649.789728
FDM14,OUT013,1628.242663
FDW60,OUT018,2774.915835
FDE21,OUT013,2025.084207
NCM42,OUT035,1747.703968
FDY59,OUT010,219.0289199
DRI49,OUT049,1269.338304
FDT28,OUT019,368.8493158
FDQ22,OUT018,591.7830061
FDR60,OUT049,1233.411749
FDC50,OUT019,226.7006523
FDV24,OUT013,2337.434295
DRF48,OUT010,485.8982389
FDQ47,OUT046,631.14495
DRN36,OUT049,1497.02144
NCY06,OUT035,2024.828247
FDE52,OUT035,1368.782193
NCB54,OUT045,1961.3146
NCF31,OUT035,2412.221813
FDJ08,OUT027,5171.38532
NCC07,OUT017,1651.087063
NCD19,OUT027,1251.68636
FDL46,OUT049,1966.580332
FDM20,OUT045,4046.569425
NCI06,OUT010,438.1431552
DRM11,OUT035,4305.69099
NCH07,OUT018,2465.818208
FDS23,OUT013,2046.119499
FDO49,OUT018,762.3228421
FDS35,OUT049,1090.258227
DRK39,OUT045,1373.551253
DRI39,OUT049,924.9953024
FDV04,OUT017,2456.319713
NCN14,OUT035,3060.125412
FDH08,OUT013,3760.282372
FDS20,OUT046,3329.002483
FDV40,OUT049,1125.525732
FDZ48,OUT010,255.6716179
FDS24,OUT027,2477.374869
FDK44,OUT049,2798.422714
FDS48,OUT045,2572.519079
FDK26,OUT010,487.7661805
FDD23,OUT045,3100.092774
NCH54,OUT017,2652.390442
NCP14,OUT010,237.8517496
FDM60,OUT010,129.650948
FDV24,OUT017,2383.54737
FDH08,OUT018,3516.170761
FDS12,OUT027,3014.371361
FDR39,OUT027,4830.565958
FDP12,OUT027,967.0633678
DRF60,OUT027,5858.828523
FDC09,OUT035,1700.420194
FDF50,OUT018,3027.493551
FDG28,OUT035,4068.75631
NCE19,OUT017,871.4877593
NCM53,OUT010,248.7502215
NCN18,OUT049,1699.513855
FDF32,OUT035,3164.228221
FDF11,OUT013,3994.254529
DRI59,OUT049,3722.499555
NCG54,OUT035,2801.526151
FDM44,OUT046,1653.044644
FDT57,OUT018,3592.353489
FDV24,OUT046,2365.641763
FDI50,OUT019,570.730114
FDS09,OUT035,770.7267828
NCC31,OUT027,4095.76768
FDQ07,OUT019,572.7001507
FDC22,OUT017,3152.564061
FDZ56,OUT046,2874.063447
FDZ40,OUT019,129.650948
FDS46,OUT027,2939.154205
DRD24,OUT045,2101.806868
FDV45,OUT017,3080.952746
FDL26,OUT045,2573.839467
FDA56,OUT018,1939.575234
FDN27,OUT046,2038.367587
FDM20,OUT049,4026.207686
FDO16,OUT017,1354.190597
FDL03,OUT035,2910.748434
FDE58,OUT046,1980.888297
FDI02,OUT027,2931.949422
NCC55,OUT019,129.650948
FDR03,OUT018,3254.35822
FDB14,OUT017,1465.334669
FDR45,OUT013,3973.622685
NCN07,OUT017,2084.299515
FDM51,OUT019,241.2583939
FDT52,OUT027,5858.828523
FDL26,OUT046,2514.163023
NCZ42,OUT046,4012.199385
DRI47,OUT019,368.2494427
FDW40,OUT013,2110.369282
FDN34,OUT046,2852.337918
FDS01,OUT035,2974.40067
NCG55,OUT045,1955.247915
FDC11,OUT035,1334.184018
FDX35,OUT018,3463.62272
NCB06,OUT046,2615.771383
FDR09,OUT019,572.2167696
FDC53,OUT017,1527.537028
FDY45,OUT013,4173.688862
FDA22,OUT010,386.2568753
FDE02,OUT035,1548.145674
FDW21,OUT045,1736.0347
FDV34,OUT046,1207.943331
FDS59,OUT049,1659.160234
NCW17,OUT017,2116.597822
NCK54,OUT046,2029.782775
FDG17,OUT019,570.730114
FDG35,OUT017,2918.056161
FDD08,OUT010,129.650948
NCO07,OUT017,3696.432026
FDJ10,OUT010,282.8207376
FDW36,OUT017,1653.517896
FDW21,OUT010,233.9330628
FDY19,OUT017,1954.040559
DRE03,OUT013,836.1355569
NCC55,OUT049,651.4813002
FDH52,OUT010,133.9776829
FDO09,OUT017,4018.369441
FDU43,OUT045,4023.775352
FDX09,OUT010,421.3467743
FDH40,OUT019,205.503403
FDW58,OUT017,1623.014109
FDC47,OUT017,3730.134704
NCR41,OUT035,1510.720144
DRG49,OUT035,4020.545309
FDC52,OUT027,4095.76768
FDY13,OUT046,1215.643616
FDY35,OUT013,722.7127811
FDI35,OUT017,3213.119233
NCU18,OUT049,2149.829379
FDY33,OUT018,2523.120365
FDC15,OUT027,4167.896291
FDU01,OUT049,3017.947222
NCU42,OUT046,2866.526721
NCV29,OUT018,2788.705205
NCY30,OUT017,3001.778651
FDQ46,OUT049,1694.520606
FDG58,OUT027,4095.76768
FDK33,OUT017,3709.225488
NCD07,OUT045,1833.726827
NCX29,OUT027,4011.165636
NCT42,OUT013,2379.174735
DRN59,OUT035,756.2026081
FDI44,OUT035,1270.655046
FDA45,OUT049,2753.096659
FDP31,OUT045,1080.485415
FDY01,OUT046,1940.094133
FDT09,OUT018,2025.16998
DRH03,OUT027,2832.612408
FDA36,OUT018,3039.857418
NCF31,OUT017,2362.939318
FDG14,OUT049,2385.303267
FDG28,OUT027,5858.828523
FDU14,OUT049,4122.239666
FDY47,OUT019,284.6168231
FDI56,OUT049,1381.554876
DRD01,OUT013,1045.567097
FDM22,OUT046,969.6682873
FDH33,OUT013,723.1832123
DRZ24,OUT013,1893.714894
NCQ38,OUT046,1655.688843
FDO16,OUT027,2266.239265
FDU07,OUT027,4067.407242
NCB07,OUT013,2975.951393
FDU48,OUT045,2044.361551
NCM43,OUT045,2803.930435
FDR31,OUT010,364.1894624
DRK49,OUT018,597.6491367
NCI30,OUT010,571.6494861
DRD60,OUT017,3139.404677
NCG19,OUT046,3733.451229
FDH12,OUT035,1665.654606
FDM32,OUT035,1430.957562
FDM27,OUT035,2623.222433
NCU53,OUT027,4265.839568
NCQ18,OUT046,1592.666888
FDS10,OUT013,2835.504292
FDB33,OUT027,4167.896291
FDI12,OUT013,1410.475925
NCW42,OUT013,3633.110578
NCC06,OUT018,2024.39187
FDW02,OUT017,1976.003502
NCD43,OUT017,1730.261186
FDM57,OUT018,1319.695719
FDA58,OUT017,3786.134135
FDK56,OUT046,3281.006931
FDP52,OUT045,3940.162208
FDW20,OUT018,2008.076662
FDS52,OUT049,1581.380056
NCT29,OUT018,1847.936932
NCL54,OUT013,2820.078811
FDC05,OUT045,3048.691506
FDF34,OUT035,2992.477008
FDP03,OUT027,3014.371361
FDD32,OUT010,199.0543663
FDZ10,OUT045,2034.419155
FDZ40,OUT035,873.0598831
FDD51,OUT018,613.061538
NCY30,OUT019,420.6540465
FDP58,OUT017,3612.995719
FDV49,OUT017,4276.833541
FDY24,OUT019,129.650948
NCO55,OUT017,1685.019556
FDR13,OUT017,1938.769862
FDS51,OUT017,1001.314881
FDP26,OUT045,1662.172494
NCB54,OUT027,3014.371361
FDF32,OUT017,3088.698523
FDN31,OUT018,3048.858202
DRM48,OUT017,583.9834269
FDN20,OUT049,2834.591083
DRL01,OUT046,3751.89485
FDV56,OUT049,1603.351321
DRH13,OUT027,2884.775145
FDA03,OUT017,2533.836208
FDF47,OUT027,5858.828523
FDX32,OUT046,2623.997881
FDX57,OUT049,1506.150932
NCA30,OUT045,2956.189145
FDO49,OUT013,839.9128197
FDL04,OUT019,245.523482
DRM48,OUT035,589.3663094
FDR16,OUT013,3491.448112
NCC19,OUT018,3046.122291
NCE42,OUT045,3975.285381
FDY24,OUT017,869.9460614
FDH19,OUT049,2776.887645
FDJ46,OUT013,2791.400598
FDN45,OUT010,573.1361417
FDY08,OUT035,2053.302226
FDZ37,OUT035,1372.269679
NCT30,OUT045,763.3739294
DRY23,OUT018,610.3761344
NCZ30,OUT018,1957.887455
FDC44,OUT018,1785.03138
FDB45,OUT035,1615.364377
FDY04,OUT013,2572.408711
FDM27,OUT046,2636.903747
FDZ43,OUT017,4012.835539
FDT39,OUT019,372.1639135
NCC06,OUT019,282.7983328
FDL15,OUT027,4095.76768
FDL57,OUT017,4126.598979
FDU08,OUT046,1532.765421
FDK40,OUT017,4260.09014
FDQ12,OUT010,571.166105
FDS48,OUT017,2551.195631
FDP09,OUT045,3660.729363
FDW21,OUT049,1533.094251
FDY25,OUT035,3139.75715
DRE13,OUT017,1369.553021
FDV43,OUT019,129.650948
FDD22,OUT045,1706.897272
FDM46,OUT019,226.3542509
NCO30,OUT010,471.0299499
FDM25,OUT046,2845.045284
NCN41,OUT049,2056.446104
FDU24,OUT045,1495.657595
FDZ50,OUT046,3281.621903
FDP45,OUT013,4043.974204
NCM54,OUT045,2003.345952
FDW10,OUT019,418.9959633
FDP20,OUT017,2025.911714
FDK32,OUT046,2539.074925
FDN52,OUT049,1347.957148
FDM58,OUT045,1700.601741
FDZ46,OUT027,2916.795104
NCA18,OUT018,1781.639965
FDD35,OUT046,2133.927237
NCK31,OUT035,765.4844634
FDI40,OUT027,2858.055757
FDT50,OUT019,230.1846372
NCT06,OUT046,2680.59625
FDT31,OUT035,2951.838283
FDT45,OUT049,884.2383205
FDT13,OUT045,3108.284203
FDO50,OUT045,1396.686293
NCU18,OUT010,281.1183634
NCR54,OUT049,3068.143243
NCO18,OUT018,2807.173251
